SRR1737970_2.fastq.gz	6R40C84Dar41dMNB12_R2_6.fastq.gz
SRR1737971_2.fastq.gz	6R40C84Dar41dMNB12_R2_7.fastq.gz
SRR1737972_2.fastq.gz	6R40C84Dar41dMNB12_R2_8.fastq.gz
SRR1164655_1.fastq.gz	FN0112228.06.02.01.M5_R1_1.fastq.gz
SRR1164656_1.fastq.gz	FN0112228.06.02.01.M5_R1_2.fastq.gz
SRR1164657_1.fastq.gz	FN0112228.06.02.01.M5_R1_3.fastq.gz
SRR1164658_1.fastq.gz	FN0112228.06.02.01.M5_R1_4.fastq.gz
SRR1164659_1.fastq.gz	FN0112228.06.02.01.M5_R1_5.fastq.gz
SRR1164660_1.fastq.gz	FN0112228.06.02.01.M5_R1_6.fastq.gz
SRR1164661_1.fastq.gz	FN0112228.06.02.01.M5_R1_7.fastq.gz
SRR1164662_1.fastq.gz	FN0112228.06.02.01.M5_R1_8.fastq.gz
SRR1164655_2.fastq.gz	FN0112228.06.02.01.M5_R2_1.fastq.gz
SRR1164656_2.fastq.gz	FN0112228.06.02.01.M5_R2_2.fastq.gz
SRR1164657_2.fastq.gz	FN0112228.06.02.01.M5_R2_3.fastq.gz
SRR1164658_2.fastq.gz	FN0112228.06.02.01.M5_R2_4.fastq.gz
SRR1164659_2.fastq.gz	FN0112228.06.02.01.M5_R2_5.fastq.gz
SRR1164660_2.fastq.gz	FN0112228.06.02.01.M5_R2_6.fastq.gz
SRR1164661_2.fastq.gz	FN0112228.06.02.01.M5_R2_7.fastq.gz
SRR1164662_2.fastq.gz	FN0112228.06.02.01.M5_R2_8.fastq.gz
SRR1164663_1.fastq.gz	FN0112885.02.06.03.M5_R1_1.fastq.gz
SRR1164664_1.fastq.gz	FN0112885.02.06.03.M5_R1_2.fastq.gz
SRR1164665_1.fastq.gz	FN0112885.02.06.03.M5_R1_3.fastq.gz
SRR1164666_1.fastq.gz	FN0112885.02.06.03.M5_R1_4.fastq.gz
SRR1164667_1.fastq.gz	FN0112885.02.06.03.M5_R1_5.fastq.gz
SRR1164668_1.fastq.gz	FN0112885.02.06.03.M5_R1_6.fastq.gz
SRR1164669_1.fastq.gz	FN0112885.02.06.03.M5_R1_7.fastq.gz
SRR1164670_1.fastq.gz	FN0112885.02.06.03.M5_R1_8.fastq.gz
SRR1164663_2.fastq.gz	FN0112885.02.06.03.M5_R2_1.fastq.gz
SRR1164664_2.fastq.gz	FN0112885.02.06.03.M5_R2_2.fastq.gz
SRR1164665_2.fastq.gz	FN0112885.02.06.03.M5_R2_3.fastq.gz
SRR1164666_2.fastq.gz	FN0112885.02.06.03.M5_R2_4.fastq.gz
SRR1164667_2.fastq.gz	FN0112885.02.06.03.M5_R2_5.fastq.gz
SRR1164668_2.fastq.gz	FN0112885.02.06.03.M5_R2_6.fastq.gz
SRR1164669_2.fastq.gz	FN0112885.02.06.03.M5_R2_7.fastq.gz
SRR1164670_2.fastq.gz	FN0112885.02.06.03.M5_R2_8.fastq.gz
SRR1164647_1.fastq.gz	FN0131633.06.01.M4_R1_1.fastq.gz
SRR1164648_1.fastq.gz	FN0131633.06.01.M4_R1_2.fastq.gz
SRR1164649_1.fastq.gz	FN0131633.06.01.M4_R1_3.fastq.gz
SRR1164650_1.fastq.gz	FN0131633.06.01.M4_R1_4.fastq.gz
SRR1164651_1.fastq.gz	FN0131633.06.01.M4_R1_5.fastq.gz
SRR1164652_1.fastq.gz	FN0131633.06.01.M4_R1_6.fastq.gz
SRR1164653_1.fastq.gz	FN0131633.06.01.M4_R1_7.fastq.gz
SRR1164654_1.fastq.gz	FN0131633.06.01.M4_R1_8.fastq.gz
SRR1164647_2.fastq.gz	FN0131633.06.01.M4_R2_1.fastq.gz
SRR1164648_2.fastq.gz	FN0131633.06.01.M4_R2_2.fastq.gz
SRR1164649_2.fastq.gz	FN0131633.06.01.M4_R2_3.fastq.gz
SRR1164650_2.fastq.gz	FN0131633.06.01.M4_R2_4.fastq.gz
SRR1164651_2.fastq.gz	FN0131633.06.01.M4_R2_5.fastq.gz
SRR1164652_2.fastq.gz	FN0131633.06.01.M4_R2_6.fastq.gz
SRR1164653_2.fastq.gz	FN0131633.06.01.M4_R2_7.fastq.gz
SRR1164654_2.fastq.gz	FN0131633.06.01.M4_R2_8.fastq.gz
SRR1164671_1.fastq.gz	FN0163764.04.01.M4_R1_1.fastq.gz
SRR1164672_1.fastq.gz	FN0163764.04.01.M4_R1_2.fastq.gz
SRR1164673_1.fastq.gz	FN0163764.04.01.M4_R1_3.fastq.gz
SRR1164674_1.fastq.gz	FN0163764.04.01.M4_R1_4.fastq.gz
SRR1164675_1.fastq.gz	FN0163764.04.01.M4_R1_5.fastq.gz
SRR1164676_1.fastq.gz	FN0163764.04.01.M4_R1_6.fastq.gz
SRR1164677_1.fastq.gz	FN0163764.04.01.M4_R1_7.fastq.gz
SRR1164678_1.fastq.gz	FN0163764.04.01.M4_R1_8.fastq.gz
SRR1164671_2.fastq.gz	FN0163764.04.01.M4_R2_1.fastq.gz
SRR1164672_2.fastq.gz	FN0163764.04.01.M4_R2_2.fastq.gz
SRR1164673_2.fastq.gz	FN0163764.04.01.M4_R2_3.fastq.gz
SRR1164674_2.fastq.gz	FN0163764.04.01.M4_R2_4.fastq.gz
SRR1164675_2.fastq.gz	FN0163764.04.01.M4_R2_5.fastq.gz
SRR1164676_2.fastq.gz	FN0163764.04.01.M4_R2_6.fastq.gz
SRR1164677_2.fastq.gz	FN0163764.04.01.M4_R2_7.fastq.gz
SRR1164678_2.fastq.gz	FN0163764.04.01.M4_R2_8.fastq.gz
SRR1164679_1.fastq.gz	FN0164160.03.02.01.01.M6_R1_1.fastq.gz
SRR1164680_1.fastq.gz	FN0164160.03.02.01.01.M6_R1_2.fastq.gz
SRR1164681_1.fastq.gz	FN0164160.03.02.01.01.M6_R1_3.fastq.gz
SRR1164682_1.fastq.gz	FN0164160.03.02.01.01.M6_R1_4.fastq.gz
SRR1164683_1.fastq.gz	FN0164160.03.02.01.01.M6_R1_5.fastq.gz
SRR1164684_1.fastq.gz	FN0164160.03.02.01.01.M6_R1_6.fastq.gz
SRR1164685_1.fastq.gz	FN0164160.03.02.01.01.M6_R1_7.fastq.gz
SRR1164686_1.fastq.gz	FN0164160.03.02.01.01.M6_R1_8.fastq.gz
SRR1164679_2.fastq.gz	FN0164160.03.02.01.01.M6_R2_1.fastq.gz
SRR1164680_2.fastq.gz	FN0164160.03.02.01.01.M6_R2_2.fastq.gz
SRR1164681_2.fastq.gz	FN0164160.03.02.01.01.M6_R2_3.fastq.gz
SRR1164682_2.fastq.gz	FN0164160.03.02.01.01.M6_R2_4.fastq.gz
SRR1164683_2.fastq.gz	FN0164160.03.02.01.01.M6_R2_5.fastq.gz
SRR1164684_2.fastq.gz	FN0164160.03.02.01.01.M6_R2_6.fastq.gz
SRR1164685_2.fastq.gz	FN0164160.03.02.01.01.M6_R2_7.fastq.gz
SRR1164686_2.fastq.gz	FN0164160.03.02.01.01.M6_R2_8.fastq.gz
SRR1164695_1.fastq.gz	FN0164472.x3.06.01.M5_R1_1.fastq.gz
SRR1164696_1.fastq.gz	FN0164472.x3.06.01.M5_R1_2.fastq.gz
SRR1164697_1.fastq.gz	FN0164472.x3.06.01.M5_R1_3.fastq.gz
